workerid,proliferate.condition,center_embedding,confidence,continuation,header,individual_judgment,item,passive,population_judgment,slide_number_in_experiment,time,version,error
7,condition1,no,0.72,"Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers ""Escape of Oil."" An ""Escape of Oil"" event is defined as follows: <b> ""An incident occurs with a fixed heating installation that leaks oil. This incident results in damage to the policyholder's property.""</b>",yes,escape of oil,no,80,13,15547,controversial,
7,condition1,no,0.47,"One day, Ken parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. The fire does not spread to the rest of the car, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.","Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident that occurs with a fire or explosion that is instigated by an outside force. This incident results in damage to the policyholder's property.""</b>",yes,vehicle fire,yes,50,14,18938,controversial,
7,condition1,yes,0.57,"One day, Gwen drives her SUV to the grocery store. After she parks the car, she injures her wrist when she opens her driver-side door into an oncoming car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident with a vehicular collision that produces an accidental injury results in damage to the policyholder's person.""</b>",no,personal accident,no,65,15,22639,controversial,
7,condition1,no,0.61,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.","Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident occurs with lightning that is created by a storm. This incident results in damage to the policyholder's property.""</b>",yes,storm damage,yes,75,16,20144,covered,
8,condition1,no,0.43,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",no,hail damage,no,50,3,38977,filler_uncovered,
8,condition1,no,0.48,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as <b>loss as a result of theft to the policyholder's car or car accessories.</b>",yes,vehicle theft,no,80,4,20333,filler_covered,
8,condition1,yes,0.39,"One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage.","Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident with an outside force that instigates a fire or explosion results in damage to the policyholder's vehicle.""</b>",yes,vehicle fire,no,70,5,13663,covered,
8,condition1,no,0.46,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered with drawings made in permanent marker. She reviews her home surveillance footage and sees that it was her children who drew on the wall. She hires professional painters to paint over the drawing. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident that occurs when an adverse third party wields a colorant or stain. This incident causes damage to the policyholder's property. ""</b>",yes,malicious acts or vandalism,no,50,6,20834,uncovered,
8,condition1,yes,0.18,"Denise is moving to a new home on the other side of town. She asks her uncle, a retired professional mover, to help move her belongings out of her current home. During the move, her uncle's truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident that occurs when professional removal contractors who remove belongings from the policyholder's home cause damage to the policyholder's property."" </b>",yes,house removal,no,50,7,29333,controversial,
8,condition1,no,0.46,"Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident that occurs when an entry to the policyholder's home is forced open by first responders. This incident results in damage to the policyholder's property.""</b>",yes,emergency damages,yes,90,8,19846,covered,
8,condition1,yes,0.05,"Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers ""Escape of Oil."" An ""Escape of Oil"" event is defined as follows: <b> ""An incident that occurs with oil that is leaked by a fixed heating installation results in damage to the policyholder's property.""</b>",no,escape of oil,yes,35,9,185717,uncovered,
8,condition1,no,0.1,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.","Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs when cables or pipes connected to the policyholder's home are located by a skilled professional. This incident results in damage to the policyholder's property.""</b>",yes,trace and access,yes,50,10,24797,uncovered,
8,condition1,yes,0.17,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.","Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident with lightning that is created by a storm results in damage to the policyholder's property.""</b>",yes,storm damage,yes,40,11,18288,controversial,
8,condition1,yes,0.07,"One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage.","Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident that occurs when an outside force that induces ground movement or landslip causes damage to the policyholder's property. ""</b>",yes,ground heave,no,40,12,17744,uncovered,
8,condition1,yes,0.55,"One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident with an accidental injury that is produced in a vehicular collision results in damage to the policyholder's person.""</b>",yes,personal accident,yes,70,13,18396,covered,
8,condition1,no,0.58,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits one of his car's side mirrors. When he returns, he discovers that the side mirror has been severely damaged and that broken shards from the side mirror managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An accident that occurs when vehicle glass is broken by an outside force. This accident results in damage to the body work of the policyholder's vehicle.""</b>",yes,vehicle glass,yes,60,14,22942,controversial,
8,condition1,no,0.55,Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water'' event is defined as follows: <b> ""An incident that occurs when an internal source that abruptly and unexpectedly leaks water. This incident results in damage to the policyholder's property.""</b>",yes,escape of water,no,70,15,17422,controversial,
8,condition1,no,0.63,"Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident within regular working conditions that incurs an injury to the policyholder. This incident results in missed employment for the policyholder.""</b>",yes,general damages,no,60,16,20225,covered,
4,condition1,no,1,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",no,hail damage,no,99,3,29137,filler_uncovered,
4,condition1,no,1,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as <b>loss as a result of theft to the policyholder's car or car accessories.</b>",yes,vehicle theft,no,99,4,35469,filler_covered,
4,condition1,yes,1,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident that occurs when a colorant or stain that is wielded by an adverse third party causes damage to the policyholder's property. ""</b>",yes,malicious acts or vandalism,yes,100,5,29700,covered,
4,condition1,no,0.9,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits one of his car's side mirrors. When he returns, he discovers that the side mirror has been severely damaged and that broken shards from the side mirror managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An accident that occurs when an outside force breaks vehicle glass. This accident results in damage to the body work of the policyholder's vehicle.""</b>",yes,vehicle glass,no,90,6,44351,controversial,
4,condition1,no,1,"One day, Gwen drives her SUV to the grocery store. After buying groceries, she injures her wrist when she lifts a heavy grocery bag into her car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident that occurs with a vehicular collision that produces an accidental injury. This incident results in damage to the policyholder's person.""</b>",no,personal accident,no,100,7,33071,uncovered,
4,condition1,no,0.55,"One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage.","Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident that occurs when ground movement or landslip is induced by an outside force. This incident causes damage to the policyholder's property. ""</b>",yes,ground heave,yes,50,8,128801,uncovered,
4,condition1,no,0.96,"Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs with professional removal contractors who remove belongings from the policyholder's home. This incident causes damage to the policyholder's belongings."" </b>",yes,house removal,no,95,9,25820,covered,
4,condition1,yes,0.51,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.","Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs when cables or pipes connected to the policyholder's home are located by a skilled professional resulting in damage to the policyholder's property.""</b>",no,trace and access,yes,50,10,398030,uncovered,
4,condition1,no,0.95,Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident that occurs when water abruptly and unexpectedly leaks from an internal source. This incident results in damage to the policyholder's property.""</b>",yes,escape of water,yes,99,11,40408,controversial,
4,condition1,yes,1,"One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage.","Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident with an outside force that instigates a fire or explosion results in damage to the policyholder's vehicle.""</b>",yes,vehicle fire,no,100,12,17677,covered,
4,condition1,yes,1,"Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers ""Escape of Oil."" An ""Escape of Oil"" event is defined as follows: <b> ""An incident that occurs with a fixed heating installation that leaks oil results in damage to the policyholder's property.""</b>",yes,escape of oil,no,99,13,14337,controversial,
4,condition1,no,0.58,"Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident that occurs when an entry to the policyholder's home is forced open by first responders. This incident results in damage to the policyholder's property.""</b>",yes,emergency damages,yes,50,14,36496,covered,
4,condition1,yes,0.53,"Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident with an injury that is incurred within regular working conditions results in missed employment for the policyholder.""</b>",no,general damages,yes,50,15,55730,controversial,
4,condition1,yes,0.95,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.","Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident with a storm that creates lightning results in damage to the policyholder's property.""</b>",yes,storm damage,no,99,16,11767,uncovered,
2,condition1,no,0.73,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",yes,hail damage,no,60,3,162185,filler_uncovered,
2,condition1,no,0.98,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as <b>loss as a result of theft to the policyholder's car or car accessories.</b>",yes,vehicle theft,no,100,4,46722,filler_covered,
2,condition1,yes,0.86,"Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers ""Escape of Oil."" An ""Escape of Oil"" event is defined as follows: <b> ""An incident that occurs with oil that is leaked by a fixed heating installation results in damage to the policyholder's property.""</b>",no,escape of oil,yes,80,5,53137,uncovered,
2,condition1,no,0.54,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.","Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident occurs with lightning that is created by a storm. This incident results in damage to the policyholder's property.""</b>",yes,storm damage,yes,50,6,60201,controversial,
2,condition1,yes,0.6,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits one of his car's side mirrors. When he returns, he discovers that the side mirror has been severely damaged and that broken shards from the side mirror managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An accident that occurs when an outside force that breaks vehicle glass results in damage to the body work of the policyholder's vehicle.""</b>",no,vehicle glass,no,60,7,58752,controversial,
2,condition1,no,0.61,"One day, Gwen drives her SUV to the grocery store. After buying groceries, she injures her wrist when she lifts a heavy grocery bag into her car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident that occurs with an accidental injury that is produced in a vehicular collision. This incident results in damage to the policyholder's person.""</b>",yes,personal accident,yes,50,8,74560,uncovered,
2,condition1,no,0.54,"One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage.","Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident that occurs with an outside force that instigates a fire or explosion. This incident results in damage to the policyholder's vehicle.""</b>",yes,vehicle fire,no,50,9,59537,covered,
2,condition1,yes,0.9,"Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident that occurs when an entry to the policyholder's home that is forced open by first responders causing damage to the policyholder's property.""</b>",no,emergency damages,yes,90,10,53641,covered,
2,condition1,yes,0.88,"One evening, an earthquake erupts near Blake's house. The force of the earthquake causes Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage.","Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident that occurs when an outside force that induces ground movement or landslip causes damage to the policyholder's property. ""</b>",no,ground heave,no,90,11,41577,covered,
2,condition1,no,0.89,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident that occurs when a colorant or stain is wielded by an adverse third party. This incident causes damage to the policyholder's property. ""</b>",no,malicious acts or vandalism,yes,95,12,123899,covered,
2,condition1,yes,0.89,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.","Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs when a skilled professional locates cables or pipes connected to the policyholder's home resulting in damage to the policyholder's property.""</b>",no,trace and access,no,95,13,33234,uncovered,
2,condition1,no,0.78,"Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident within regular working conditions that incurs an injury to the policyholder. This incident results in missed employment for the policyholder.""</b>",no,general damages,no,90,14,49001,controversial,
2,condition1,no,0.61,"Denise is moving to a new home on the other side of town. She rents a truck and decides she will move her own belongings out of her current home. During the move, her truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs with professional removal contractors who remove belongings from the policyholder's home. This incident causes damage to the policyholder's belongings."" </b>",no,house removal,no,60,15,102536,uncovered,
2,condition1,yes,0.84,Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water'' event is defined as follows: <b> ""An incident that occurs when water that abruptly and unexpectedly flows from an internal source results in damage to the policyholder's property.""</b>",yes,escape of water,yes,70,16,34794,controversial,
6,condition1,no,0.87,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",no,hail damage,no,80,3,25897,filler_uncovered,
6,condition1,no,0.74,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as <b>loss as a result of theft to the policyholder's car or car accessories.</b>",yes,vehicle theft,no,70,4,33070,filler_covered,
6,condition1,yes,0.84,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident that occurs when a colorant or stain that is wielded by an adverse third party causes damage to the policyholder's property. ""</b>",yes,malicious acts or vandalism,yes,80,5,25193,covered,
6,condition1,no,0.67,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits one of his car's side mirrors. When he returns, he discovers that the side mirror has been severely damaged and that broken shards from the side mirror managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An accident that occurs when an outside force breaks vehicle glass. This accident results in damage to the body work of the policyholder's vehicle.""</b>",yes,vehicle glass,no,60,6,25653,controversial,
