item,center_embedding,passive,policy_wording,locus_of_uncertainty
Personal Accident,no,yes,An incident occurs with a policyholder who is injured by a vehicular collision. This incident results in substantial damage to the policyholder's person.,vehicular collision
House Removal,yes,yes,An incident that occurs with policyholder belongings that are moved by professional contractors results in damage to those belongings.,professional contractors
House Removal,yes,no,An incident that occurs with professional contractors who move policyholder belongings results in damage to those belongings. ,professional contractors
House Removal,no,no,An incident occurs with professional contractors who move policyholder belongings. This incident results in damage to those belongings. ,professional contractors
House Removal,no,yes,An incident occurs with policyholder belongings that are moved by professional contractors. This incident results in damage to those belongings. ,professional contractors
General Damages,yes,yes,An incident that occurs with a policyholder who is injured by a workplace accident results in missed employment for the policyholder.,workplace
General Damages,yes,no,An incident that occurs with a workplace accident that injures a policyholder results in missed employment for the policyholder.,workplace
General Damages,no,no,An incident occurs with a workplace accident that injures a policyholder. This incident results in missed employment for the policyholder.,workplace
General Damages,no,yes,An incident occurs with a policyholder who is injured by a workplace accident. This incident results in missed employment for the policyholder.,workplace
Escape Of Water,yes,yes,An incident that occurs with water that is released by an internal source in an abrupt and unexpected manner results in damage to the policyholder's property.,abrupt and unexpected
Escape Of Water,yes,no,An incident that occurs with an internal source that releases water in an abrupt and unexpected manner results in damage to the policyholder's property.,abrupt and unexpected
Escape Of Water,no,no,An incident occurs with an internal source that releases water in an abrupt and unexpected manner. This incident results in damage to the policyholder's property.,abrupt and unexpected
Escape Of Water,no,yes,An incident occurs with water that is released by an internal source in an abrupt and unexpected manner. This incident results in damage to the policyholder's property.,abrupt and unexpected
Trace And Access,yes,yes,An incident that occurs with cables or pipes that are accessed by a skilled professional under reasonable circumstances results in damage to the policyholder's property.,reasonable circumstances
Trace And Access,yes,no,An incident that occurs with a skilled professional who accesses cables or pipes under reasonable circumstances results in damage to the policyholder's property.,reasonable circumstances
Trace And Access,no,no,An incident occurs with a skilled professional who accesses cables or pipes under reasonable circumstances. This incident results in damage to the policyholder's property.,reasonable circumstances
Trace And Access,no,yes,An incident occurs with cables or pipes that are accessed by a skilled professional under reasonable circumstances. This incident results in damage to the policyholder's property.,reasonable circumstances
Hail Damage,no,no,damage from hail of such intensity that it results in damage specifically to hard surfaces or breaks glass.,n/a
Vehicle Theft,no,no,loss as a result of theft to the policyholder's car or car accessories.,n/a
