set,letter,item ,version,center_embedding,passive,header,continuation
3,d,Emergency Damages,uncovered,no,yes,"Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when an entry to the policyholder's home is forced open by first responders. This incident results in damage to the policyholder's property.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry."
3,a,Emergency Damages,covered,yes,yes,"Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when an entry to the policyholder's home that is forced open by first responders causing damage to the policyholder's property.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry."
3,b,Emergency Damages,covered,yes,no,"Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when first responders that force open an entry to the policyholder's causing damage to the policyholder's property.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry."
3,c,Emergency Damages,covered,no,no,"Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when first responders force open an entry to the policyholder's home. This incident causes damage to the policyholder's property.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry."
3,d,Emergency Damages,covered,no,yes,"Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when an entry to the policyholder's home is forced open by first responders. This incident results in damage to the policyholder's property.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry."
3,a,Emergency Damages,controversial,yes,yes,"Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when an entry to the policyholder's home that is forced open by first responders causing damage to the policyholder's property.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry."
3,b,Emergency Damages,controversial,yes,no,"Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when first responders that force open an entry to the policyholder's causing damage to the policyholder's property.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry."
3,c,Emergency Damages,controversial,no,no,"Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when first responders force open an entry to the policyholder's home. This incident causes damage to the policyholder's property.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry."
3,d,Emergency Damages,controversial,no,yes,"Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when an entry to the policyholder's home is forced open by first responders. This incident results in damage to the policyholder's property.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry."
4,a,Malicious Acts Or Vandalism,uncovered,yes,yes,"Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when a colorant or stain that is wielded by an adverse third party causes damage to the policyholder's property.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered with drawings made in permanent marker. She reviews her home surveillance footage and sees that it was her children who drew on the wall. She hires professional painters to paint over the drawing. Beth files a claim with her insurance company for the damages."
4,b,Malicious Acts Or Vandalism,uncovered,yes,no,"Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when an adverse third party that wields a colorant or stain causes damage to the policyholder's property.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered with drawings made in permanent marker. She reviews her home surveillance footage and sees that it was her children who drew on the wall. She hires professional painters to paint over the drawing. Beth files a claim with her insurance company for the damages."
4,c,Malicious Acts Or Vandalism,uncovered,no,no,"Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when an adverse third party wields a colorant or stain. This incident causes damage to the policyholder's property.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered with drawings made in permanent marker. She reviews her home surveillance footage and sees that it was her children who drew on the wall. She hires professional painters to paint over the drawing. Beth files a claim with her insurance company for the damages."
4,d,Malicious Acts Or Vandalism,uncovered,no,yes,"Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when a colorant or stain is wielded by an adverse third party. This incident causes damage to the policyholder's property.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered with drawings made in permanent marker. She reviews her home surveillance footage and sees that it was her children who drew on the wall. She hires professional painters to paint over the drawing. Beth files a claim with her insurance company for the damages."
4,a,Malicious Acts Or Vandalism,covered,yes,yes,"Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when a colorant or stain that is wielded by an adverse third party causes damage to the policyholder's property.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages."
4,b,Malicious Acts Or Vandalism,covered,yes,no,"Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when an adverse third party that wields a colorant or stain causes damage to the policyholder's property.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages."
4,c,Malicious Acts Or Vandalism,covered,no,no,"Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when an adverse third party wields a colorant or stain. This incident causes damage to the policyholder's property.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages."
4,d,Malicious Acts Or Vandalism,covered,no,yes,"Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when a colorant or stain is wielded by an adverse third party. This incident causes damage to the policyholder's property.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages."
4,a,Malicious Acts Or Vandalism,controversial,yes,yes,"Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when a colorant or stain that is wielded by an adverse third party causes damage to the policyholder's property.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that her estranged young adult son spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages."
4,b,Malicious Acts Or Vandalism,controversial,yes,no,"Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when an adverse third party that wields a colorant or stain causes damage to the policyholder's property.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that her estranged young adult son spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages."
4,c,Malicious Acts Or Vandalism,controversial,no,no,"Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when an adverse third party wields a colorant or stain. This incident causes damage to the policyholder's property.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that her estranged young adult son spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages."
4,d,Malicious Acts Or Vandalism,controversial,no,yes,"Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when a colorant or stain is wielded by an adverse third party. This incident causes damage to the policyholder's property.""</b>","Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that her estranged young adult son spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages."
5,a,Ground Heave,uncovered,yes,yes,"Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when ground movement or landslip that is induced by an outside force causes damage to the policyholder's property.""</b>","One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage."
5,b,Ground Heave,uncovered,yes,no,"Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when an outside force that induces ground movement or landslip causes damage to the policyholder's property.""</b>","One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage."
5,c,Ground Heave,uncovered,no,no,"Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when an outside force that induces ground movement or landslip. This incident causes damage to the policyholder's property.""</b>","One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage."
5,d,Ground Heave,uncovered,no,yes,"Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when ground movement or landslip is induced by an outside force. This incident causes damage to the policyholder's property.""</b>","One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage."
5,a,Ground Heave,covered,yes,yes,"Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when ground movement or landslip that is induced by an outside force causes damage to the policyholder's property.""</b>","One evening, an earthquake erupts near Blake's house. The force of the earthquake causes Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage."
5,b,Ground Heave,covered,yes,no,"Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when an outside force that induces ground movement or landslip causes damage to the policyholder's property.""</b>","One evening, an earthquake erupts near Blake's house. The force of the earthquake causes Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage."
5,c,Ground Heave,covered,no,no,"Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when an outside force that induces ground movement or landslip. This incident causes damage to the policyholder's property.""</b>","One evening, an earthquake erupts near Blake's house. The force of the earthquake causes Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage."
5,d,Ground Heave,covered,no,yes,"Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when ground movement or landslip is induced by an outside force. This incident causes damage to the policyholder's property.""</b>","One evening, an earthquake erupts near Blake's house. The force of the earthquake causes Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage."
5,a,Ground Heave,controversial,yes,yes,"Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when ground movement or landslip that is induced by an outside force causes damage to the policyholder's property.""</b>","One evening, two semi trucks collide with one another at high speed outside Blake's house. The impact from the crash causes Blake's house to shake and thereby damages the house's foundation. Blake files a claim with his insurance company for the damage."
5,b,Ground Heave,controversial,yes,no,"Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when an outside force that induces ground movement or landslip causes damage to the policyholder's property.""</b>","One evening, two semi trucks collide with one another at high speed outside Blake's house. The impact from the crash causes Blake's house to shake and thereby damages the house's foundation. Blake files a claim with his insurance company for the damage."
5,c,Ground Heave,controversial,no,no,"Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when an outside force that induces ground movement or landslip. This incident causes damage to the policyholder's property.""</b>","One evening, two semi trucks collide with one another at high speed outside Blake's house. The impact from the crash causes Blake's house to shake and thereby damages the house's foundation. Blake files a claim with his insurance company for the damage."
5,d,Ground Heave,controversial,no,yes,"Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when ground movement or landslip is induced by an outside force. This incident causes damage to the policyholder's property.""</b>","One evening, two semi trucks collide with one another at high speed outside Blake's house. The impact from the crash causes Blake's house to shake and thereby damages the house's foundation. Blake files a claim with his insurance company for the damage."
6,a,Storm Damage,uncovered,yes,yes,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident with lightning that is created by a storm results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage."
