workerid,proliferate.condition,center_embedding,confidence,continuation,header,individual_judgment,item,passive,population_judgment,slide_number_in_experiment,time,version,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.legaltraining,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
134,condition1,yes,0.67,"Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when first responders that force open an entry to the policyholder's causing damage to the policyholder's property.""</b>",yes,Emergency Damages,no,80,13,20098,controversial,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
134,condition1,no,0.8,"One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident occurs with a vehicular collision that produces an accidental injury. This incident results in damage to the policyholder's person.""</b>",yes,Personal Accident,no,75,14,21532,covered,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
134,condition1,no,0.48,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he inadvertently punctures a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.","Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as follows: <b> ""An incident occurs when cables or pipes connected to the policyholder's home are located by a skilled professional. This incident results in damage to the policyholder's property.""</b>",yes,Trace And Access,no,66,15,13221,controversial,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
134,condition1,yes,0.26,"Gavin works as an A/C repair technician in a small town. One day, Gavin is off from work and decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn't need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. While climbing the wall, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident with an injury that is incurred within regular working conditions results in missed employment for the policyholder.""</b>",yes,General Damages,yes,44,16,32578,uncovered,1,52,Yes,,3,1,Male,english,0,no,White,Chrome,Windows,1080,1920,5.944683333333334,
120,condition1,no,0.74,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as follows: <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",yes,Hail Damage,no,65,3,36191,filler_uncovered,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,no,0.94,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as follows: <b>""loss as a result of theft to the policyholder's car or car accessories.""</b>",yes,Vehicle Theft,no,100,4,19366,filler_covered,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,no,0.99,"Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers ""Escape of Oil."" An ""Escape of Oil"" event is defined as follows: <b> ""An incident occurs with a fixed heating installation that leaks oil. This incident results in damage to the policyholder's property.""</b>",no,Escape Of Oil,no,2,5,25854,controversial,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,yes,0.51,"One day, Ken parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. The fire does not spread to the rest of the car, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.","Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident with a fire or explosion that is instigated by an outside force results in damage to the policyholder's vehicle.""</b>",no,Vehicle Fire,yes,60,6,52702,controversial,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,no,0.68,"Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs with professional removal contractors who remove belongings from the policyholder's home. This incident causes damage to the policyholder's belongings."" </b>",yes,House Removal,no,70,7,39367,covered,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,yes,0.84,"One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage.","Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when an outside force that induces ground movement or landslip causes damage to the policyholder's property.""</b>",no,Ground Heave,no,75,8,23907,uncovered,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,yes,0.96,"Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when an entry to the policyholder's home that is forced open by first responders causing damage to the policyholder's property.""</b>",yes,Emergency Damages,yes,90,9,26429,covered,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,no,0.93,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front hood. When he returns, he discovers that the hood has been severely damaged. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An accident occurs when an outside force breaks vehicle glass. This accident results in damage to the body work of the policyholder's vehicle.""</b>",no,Vehicle Glass,no,95,10,43807,uncovered,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,yes,0.82,Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water'' event is defined as follows: <b> ""An incident occurs when water that abruptly and unexpectedly flows from an internal source results in damage to the policyholder's property.""</b>",yes,Escape Of Water,yes,80,11,20578,uncovered,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,yes,0.85,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.","Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident with a storm that creates lightning results in damage to the policyholder's property.""</b>",yes,Storm Damage,no,85,12,26991,controversial,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,no,0.9,"Gavin works as an A/C repair technician in a small town. One day, Gavin is off from work and decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn't need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. While climbing the wall, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident with an injury that is incurred by regular working conditions for the policyholder. This incident results in missed employment for the policyholder.""</b>",no,General Damages,yes,75,13,87147,uncovered,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,yes,0.99,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that a group of neighborhood teenagers spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when an adverse third party that wields a colorant or stain causes damage to the policyholder's property.""</b>",yes,Malicious Acts Or Vandalism,no,100,14,551781,covered,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,no,0.93,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he inadvertently punctures a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.","Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as follows: <b> ""An incident occurs when cables or pipes connected to the policyholder's home are located by a skilled professional. This incident results in damage to the policyholder's property.""</b>",yes,Trace And Access,yes,85,15,35932,controversial,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
120,condition1,no,0.94,"One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident occurs with an accidental injury that is produced in a vehicular collision. This incident results in damage to the policyholder's person.""</b>",yes,Personal Accident,yes,95,16,22791,covered,4,45,Yes,Thank you for the opportunity!,2,2,Male,English,0,no,White,Chrome,Mac,1080,1920,17.748166666666666,
295,condition1,no,1,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as follows: <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",no,Hail Damage,no,85,3,117915,filler_uncovered,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,no,0.99,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as follows: <b>""loss as a result of theft to the policyholder's car or car accessories.""</b>",yes,Vehicle Theft,no,100,4,63747,filler_covered,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,no,0.99,"One day, Ken parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. The fire does not spread to the rest of the car, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.","Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident occurs with a fire or explosion that is instigated by an outside force. This incident results in damage to the policyholder's property.""</b>",yes,Vehicle Fire,yes,100,5,94717,controversial,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,yes,0.98,"Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front windshield. When he returns, he discovers that the windshield has been severely damaged and that broken shards from the windshield managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage.","Aneesh has insurance that covers ""Vehicle Glass Damage."" A ""Vehicle Glass Damage"" event is defined as follows: <b>""An accident occurs when vehicle glass that is broken by an outside force results in damage to the body work of the policyholder's vehicle.""</b>",yes,Vehicle Glass,yes,100,6,60101,covered,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,yes,0.98,"One evening, two semi trucks collide with one another at high speed outside Blake's house. The impact from the crash causes Blake's house to shake and thereby damages the house's foundation. Blake files a claim with his insurance company for the damage.","Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when ground movement or landslip that is induced by an outside force causes damage to the policyholder's property.""</b>",yes,Ground Heave,yes,100,7,80015,controversial,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,yes,0.98,"One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident with a vehicular collision that produces an accidental injury results in damage to the policyholder's person.""</b>",yes,Personal Accident,no,100,8,63446,covered,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,no,0.99,"Justin, a skilled plumber, is repairing his leaky kitchen sink when he notices more extensive damage to a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.","Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as follows: <b> ""An incident occurs when cables or pipes connected to the policyholder's home are located by a skilled professional. This incident results in damage to the policyholder's property.""</b>",yes,Trace And Access,yes,100,9,89167,covered,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,yes,0.99,"One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.","Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident with a storm that creates lightning results in damage to the policyholder's property.""</b>",no,Storm Damage,no,100,10,46350,uncovered,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,yes,0.99,Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water'' event is defined as follows: <b> ""An incident occurs when water that abruptly and unexpectedly flows from an internal source results in damage to the policyholder's property.""</b>",no,Escape Of Water,yes,100,11,41871,uncovered,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,yes,0.64,"Beth lives in a very quiet neighborhood at the edge of town with her two young children. Upon returning home from work one day, she sees that an exterior wall of her house is covered in graffiti. She reviews her home surveillance footage and sees that her estranged young adult son spraypainted the wall. She hires professional painters to paint over the graffiti. Beth files a claim with her insurance company for the damages.","Beth has insurance that covers ""Malicious Acts or Vandalism."" A ""Malicious Acts or Vandalism"" event is defined as follows: <b>""An incident occurs when an adverse third party that wields a colorant or stain causes damage to the policyholder's property.""</b>",no,Malicious Acts Or Vandalism,no,65,12,91502,controversial,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,no,0.71,"Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when first responders force open an entry to the policyholder's home. This incident causes damage to the policyholder's property.""</b>",yes,Emergency Damages,no,75,13,62111,controversial,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,no,0.98,"Denise is moving to a new home on the other side of town. She rents a truck and decides she will move her own belongings out of her current home. During the move, her truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs with professional removal contractors who remove belongings from the policyholder's home. This incident causes damage to the policyholder's belongings."" </b>",yes,House Removal,no,100,14,40741,uncovered,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,no,0.98,"Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.","Mariam has insurance that covers ""Escape of Oil."" An ""Escape of Oil"" event is defined as follows: <b> ""An incident occurs with oil that is leaked by a fixed heating installation. This incident results in damage to the policyholder's property.""</b>",yes,Escape Of Oil,yes,100,15,43392,uncovered,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
295,condition1,no,0.99,"Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.","Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident within regular working conditions that incurs an injury to the policyholder. This incident results in missed employment for the policyholder.""</b>",yes,General Damages,no,100,16,90222,covered,6,36,Yes,No comments,3,2,Male,English,0,No problems,White,Chrome,Windows,1080,1920,18.490833333333335,
137,condition1,no,0.66,"One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.","Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as follows: <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>",yes,Hail Damage,no,90,3,30793,filler_uncovered,0,28,Yes,,3,1,Female,English,0,,White,Safari,Mac,900,1440,10.316633333333334,
137,condition1,no,0.88,"Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.","Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as follows: <b>""loss as a result of theft to the policyholder's car or car accessories.""</b>",yes,Vehicle Theft,no,90,4,24585,filler_covered,0,28,Yes,,3,1,Female,English,0,,White,Safari,Mac,900,1440,10.316633333333334,
137,condition1,yes,0.61,"One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.","Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident with an accidental injury that is produced in a vehicular collision results in damage to the policyholder's person.""</b>",yes,Personal Accident,yes,90,5,24514,covered,0,28,Yes,,3,1,Female,English,0,,White,Safari,Mac,900,1440,10.316633333333334,
137,condition1,yes,0.47,"Denise is moving to a new home on the other side of town. She asks her uncle, a retired professional mover, to help move her belongings out of her current home. During the move, her uncle's truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.","Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs when belongings from the policyholder's home are removed by professional removal contractors causing damage to the policyholder's belongings.""</b>",no,House Removal,yes,50,6,46765,controversial,0,28,Yes,,3,1,Female,English,0,,White,Safari,Mac,900,1440,10.316633333333334,
137,condition1,no,0.59,"One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage.","Blake has home insurance that covers ""Ground Heave."" A ""Ground Heave"" event is defined as follows: <b>""An incident occurs when ground movement or landslip is induced by an outside force. This incident causes damage to the policyholder's property.""</b>",no,Ground Heave,yes,70,7,33663,uncovered,0,28,Yes,,3,1,Female,English,0,,White,Safari,Mac,900,1440,10.316633333333334,
137,condition1,no,0.57,"Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.","Joanne has insurance that covers ""Emergency Damages."" An ""Emergency Damages"" event is defined as follows: <b> ""An incident occurs when an entry to the policyholder's home is forced open by first responders. This incident results in damage to the policyholder's property.""</b>",yes,Emergency Damages,yes,70,8,45764,covered,0,28,Yes,,3,1,Female,English,0,,White,Safari,Mac,900,1440,10.316633333333334,
